benchmark,row,coefficient,variant_name,variant_description,reference_value,computed_value,current_computed_value,raw_computed_value,omega_e_rad_s,documented_length_power,gate_error_ratio,current_gate_error_ratio,gate_ratio_delta_vs_current,status,candidate_default_gate_eligible,gate_role,path_diagnostic_status
probe,0,A33,length_power_0,raw/(rho*disp*L^0) with current damping sqrt(g/L),1.0,10.186413296463698,10.186413296463698,814.4037430522727,1.808005346599764,0,61.24275530975799,61.24275530975799,0.0,FAIL,False,diagnostic_coefficient_conversion_chain_not_hard_gate,INFO
probe,0,A33,length_power_1,raw/(rho*disp*L^1) with current damping sqrt(g/L),1.0,3.3954710988212327,10.186413296463698,814.4037430522727,1.808005346599764,0,15.969807325474886,61.24275530975799,-45.27294798428311,FAIL,False,diagnostic_coefficient_conversion_chain_not_hard_gate,INFO
probe,0,A33,length_power_2,raw/(rho*disp*L^2) with current damping sqrt(g/L),1.0,1.1318236996070776,10.186413296463698,814.4037430522727,1.808005346599764,0,0.8788246640471842,61.24275530975799,-60.3639306457108,PASS,False,diagnostic_coefficient_conversion_chain_not_hard_gate,INFO
probe,0,A33,added_mass_sign_flipped_current,"-raw/(rho*disp*L^r), tests a final added-mass sign convention only",1.0,-10.186413296463698,10.186413296463698,814.4037430522727,1.808005346599764,0,74.57608864309132,61.24275530975799,13.333333333333336,FAIL,False,diagnostic_coefficient_conversion_chain_not_hard_gate,INFO
probe,1,B33,length_power_0,raw/(rho*disp*L^0) with current damping sqrt(g/L),2.1,9.180428403990165,9.180428403990163,1327.03117789732,3.616010693199528,0,22.477550488857666,22.477550488857663,3.552713678800501e-15,FAIL,False,diagnostic_coefficient_conversion_chain_not_hard_gate,INFO
probe,1,B33,length_power_1,raw/(rho*disp*L^1) with current damping sqrt(g/L),2.1,3.0601428013300547,9.180428403990163,1327.03117789732,3.616010693199528,0,3.0480723851747764,22.477550488857663,-19.429478103682886,FAIL,False,diagnostic_coefficient_conversion_chain_not_hard_gate,INFO
probe,1,B33,length_power_2,raw/(rho*disp*L^2) with current damping sqrt(g/L),2.1,1.0200476004433514,9.180428403990163,1327.03117789732,3.616010693199528,0,3.428420316052853,22.477550488857663,-19.04913017280481,FAIL,False,diagnostic_coefficient_conversion_chain_not_hard_gate,INFO
probe,1,B33,damping_no_sqrt,"raw/(rho*disp*L^r), omitting the damping sqrt(g/L) factor",2.1,16.598263638490558,9.180428403990163,1327.03117789732,3.616010693199528,0,46.0262337729859,22.477550488857663,23.548683284128234,FAIL,False,diagnostic_coefficient_conversion_chain_not_hard_gate,INFO
probe,1,B33,damping_inverse_sqrt,"raw/(rho*disp*L^r*sqrt(L/g)), inverse of the documented damping factor",2.1,30.009749402663378,9.180428403990163,1327.03117789732,3.616010693199528,0,88.60237905607421,22.477550488857663,66.12482856721655,FAIL,False,diagnostic_coefficient_conversion_chain_not_hard_gate,INFO
probe,1,B33,damping_divide_omega,"raw/(omega*rho*disp*L^r*sqrt(g/L)), tests one extra omega in the raw damping channel",2.1,2.538827780917626,9.180428403990163,1327.03117789732,3.616010693199528,0,1.3931040664051617,22.477550488857663,-21.0844464224525,FAIL,False,diagnostic_coefficient_conversion_chain_not_hard_gate,INFO
